Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Category
1,Ca-2016-152156,2016-11-08,2016-11-11,Second Class,Cg-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Fur-Bo-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,Profit
3,Ca-2016-138688,2016-06-12,2016-06-16,Second Class,Dv-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,Off-La-10000240,Office Supplies,Labels,Self-Adhesive Address Labels For Typewriters By Universal,14.62,2,0.0,6.8714,Profit
5,Us-2015-108966,2015-10-11,2015-10-18,Standard Class,So-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Off-St-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,Profit
6,Ca-2014-115812,2014-06-09,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Fur-Fu-10001487,Furniture,Furnishings,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,Profit
7,Ca-2014-115812,2014-06-09,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Off-Ar-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,Profit
9,Ca-2014-115812,2014-06-09,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Off-Bi-10003910,Office Supplies,Binders,Dxl Angle-View Binders With Locking Rings By Samsill,18.504,3,0.2,5.7825,Profit
10,Ca-2014-115812,2014-06-09,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Off-Ap-10002892,Office Supplies,Appliances,Belkin F5C206Vtel 6 Outlet Surge,114.9,5,0.0,34.47,Profit
13,Ca-2017-114412,2017-04-15,2017-04-20,Standard Class,Aa-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Off-Pa-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,Profit
14,Ca-2016-161389,2016-12-05,2016-12-10,Standard Class,Im-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Off-Bi-10003656,Office Supplies,Binders,Fellowes Pb200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,Profit
15,Us-2015-118983,2015-11-22,2015-11-26,Standard Class,Hp-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Off-Ap-10002311,Office Supplies,Appliances,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",68.81,5,0.8,-123.858,Loss
16,Us-2015-118983,2015-11-22,2015-11-26,Standard Class,Hp-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Off-Bi-10000756,Office Supplies,Binders,Storex Duratech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,Loss
18,Ca-2014-167164,2014-05-13,2014-05-15,Second Class,Ag-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Off-St-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,Profit
19,Ca-2014-143336,2014-08-27,2014-09-01,Second Class,Zd-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Off-Ar-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,Profit
20,Ca-2014-143336,2014-08-27,2014-09-01,Second Class,Zd-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Tec-Ph-10001949,Technology,Phones,Cisco Spa 501G Ip Phone,213.48,3,0.2,16.011,Profit
21,Ca-2014-143336,2014-08-27,2014-09-01,Second Class,Zd-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Off-Bi-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,Profit
22,Ca-2016-137330,2016-12-09,2016-12-13,Standard Class,Kb-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Off-Ar-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,Profit
23,Ca-2016-137330,2016-12-09,2016-12-13,Standard Class,Kb-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Off-Ap-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,Profit
24,Us-2017-156909,2017-07-16,2017-07-18,Second Class,Sf-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Fur-Ch-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,Loss
26,Ca-2016-121755,2016-01-16,2016-01-20,Second Class,Eh-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Off-Bi-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,Profit
27,Ca-2016-121755,2016-01-16,2016-01-20,Second Class,Eh-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Tec-Ac-10003027,Technology,Accessories,Imation 8Gb Mini Traveldrive Usb 2.0 Flash Drive,90.57,3,0.0,11.7741,Profit
29,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Bi-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers For Binding Systems,9.618,2,0.7,-7.0532,Loss
30,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Fur-Fu-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,Profit
31,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-En-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,Profit
32,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Ar-10004042,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,Profit
33,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Bi-10001525,Office Supplies,Binders,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",6.858,6,0.7,-5.715,Loss
34,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Ar-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,Profit
35,Ca-2017-107727,2017-10-19,2017-10-23,Second Class,Ma-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Off-Pa-10000249,Office Supplies,Paper,Easy-Staple Paper,29.472,3,0.2,9.9468,Profit
37,Ca-2016-117590,2016-12-08,2016-12-10,First Class,Gh-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Fur-Fu-10003664,Furniture,Furnishings,"Electrix Architect'S Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,Loss
38,Ca-2015-117415,2015-12-27,2015-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Off-En-10002986,Office Supplies,Envelopes,"#10-4 1/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,Profit
